gender,job,wb_1,wb_2,wb_3,wb_4,wb_5,wb_6,wb_7,wb_8,wb_9,wb_10,wb_11,wb_12,wb_13,wb_14,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,self_oriented,other_oriented,socially_prescribed,psum,wb,swb
Mand,Studerende,4,4,4,5,2,4,4,4,5,5,3,5,2,4,2,1,1,1,3,1,1,6,2,2,4,2,2,4,2,5,2,1,3,1,1,2,4,3,1,1,3,2,1,2,2,1,1,2,3,2,3,1,2,3,4,1,2,2,3,35,30,33,98,55,25.03
Mand,Studerende,4,3,4,2,3,4,4,5,3,4,4,5,4,3,2,6,6,7,2,1,1,4,1,1,6,2,2,4,2,1,4,2,1,1,1,1,6,2,1,4,1,2,1,1,1,1,1,1,5,2,6,1,2,4,1,1,1,2,1,37,35,34,106,52,23.21
Kvinde,Studerende,4,4,3,4,3,4,3,4,4,3,4,4,4,4,5,2,2,2,3,1,2,2,4,3,6,5,5,5,2,3,3,6,3,3,1,3,3,3,6,3,2,4,1,1,5,5,2,1,5,6,1,1,2,7,5,6,2,1,1,58,33,53,144,52,23.21
Kvinde,Højskole,3,4,3,4,3,4,3,4,3,3,3,4,3,4,5,1,2,1,4,2,1,6,1,2,7,5,2,5,3,5,4,4,2,2,3,2,6,5,5,3,1,5,2,2,5,5,6,2,2,7,3,1,2,6,3,6,2,3,2,69,32,52,153,48,20.73
Kvinde,Studerende,3,3,3,4,3,3,4,3,4,3,4,4,4,3,4,4,4,1,5,4,4,5,4,4,5,5,3,3,2,3,3,3,5,2,3,4,3,4,3,1,1,5,4,4,3,3,3,5,5,4,4,2,2,6,3,3,5,3,6,57,52,53,162,48,21.54
Kvinde,Studerende,3,3,3,4,2,3,3,2,2,3,4,2,2,3,4,2,1,1,6,3,2,5,4,4,5,3,2,5,5,6,3,3,4,4,2,5,5,4,4,6,6,5,5,2,3,3,4,1,3,6,2,1,2,7,5,5,3,3,3,64,53,50,167,39,19.25
Kvinde,Studerende,3,3,3,3,3,3,3,4,3,2,3,4,3,3,4,1,5,5,6,1,2,5,3,3,7,6,5,3,5,5,4,2,2,3,3,5,4,5,3,1,1,5,1,2,5,5,4,4,2,7,7,2,3,7,5,7,2,5,1,70,41,62,173,43,19.25
Kvinde,Studerende,4,3,3,3,3,4,4,4,3,4,4,4,3,3,4,2,3,2,2,5,3,6,3,3,4,5,2,4,3,4,3,2,5,2,2,5,7,5,6,5,2,4,4,2,3,4,2,2,1,6,2,1,2,5,2,6,3,2,4,66,51,37,154,49,22.35
Kvinde,Studerende,4,4,2,3,2,4,3,4,2,3,4,5,2,3,5,3,6,1,7,4,3,6,2,6,6,6,5,7,2,6,5,5,5,2,2,5,7,6,2,5,5,7,2,2,3,6,5,1,2,7,6,1,2,7,5,6,4,2,2,78,60,56,194,45,20.73
Mand,Studerende,4,2,2,3,3,4,1,3,4,3,5,4,3,3,5,2,5,4,1,1,1,5,3,3,7,5,5,5,2,3,3,5,5,1,3,6,7,4,5,3,3,3,1,3,3,4,6,1,7,5,7,2,1,3,7,3,5,1,2,53,49,64,166,44,19.98
